KY586546_Ser1_Thailand_BangkokSeq_197_Thailand	1995
KY586307_Ser1_Thailand_BangkokSeq_2_Thailand	2001
KY586327_Ser1_Thailand_BangkokSeq_20_Thailand	2006
KY586328_Ser1_Thailand_BangkokSeq_21_Thailand	2006
KY586332_Ser1_Thailand_BangkokSeq_22_Thailand	2006
KY586335_Ser1_Thailand_BangkokSeq_23_Thailand	2006
KY586336_Ser1_Thailand_BangkokSeq_24_Thailand	2006
KY586340_Ser1_Thailand_BangkokSeq_25_Thailand	2006
KY586341_Ser1_Thailand_BangkokSeq_26_Thailand	2006
KY586342_Ser1_Thailand_BangkokSeq_27_Thailand	2006
KY586343_Ser1_Thailand_BangkokSeq_28_Thailand	2006
KY586344_Ser1_Thailand_BangkokSeq_29_Thailand	2006
KY586308_Ser1_Thailand_BangkokSeq_3_Thailand	2000
KY586345_Ser1_Thailand_BangkokSeq_30_Thailand	2006
KY586346_Ser1_Thailand_BangkokSeq_31_Thailand	2006
KY586347_Ser1_Thailand_BangkokSeq_32_Thailand	2006
KY586348_Ser1_Thailand_BangkokSeq_33_Thailand	2006
KY586349_Ser1_Thailand_BangkokSeq_34_Thailand	2006
KY586350_Ser1_Thailand_BangkokSeq_35_Thailand	2006
KY586351_Ser1_Thailand_BangkokSeq_36_Thailand	2006
KY586352_Ser1_Thailand_BangkokSeq_37_Thailand	2006
KY586353_Ser1_Thailand_BangkokSeq_38_Thailand	2006
KY586354_Ser1_Thailand_BangkokSeq_39_Thailand	2006
KY586309_Ser1_Thailand_BangkokSeq_4_Thailand	2001
KY586355_Ser1_Thailand_BangkokSeq_40_Thailand	2006
KY586356_Ser1_Thailand_BangkokSeq_41_Thailand	2004
KY586357_Ser1_Thailand_BangkokSeq_42_Thailand	2006
KY586358_Ser1_Thailand_BangkokSeq_43_Thailand	2006
KY586359_Ser1_Thailand_BangkokSeq_44_Thailand	2006
KY586365_Ser1_Thailand_BangkokSeq_45_Thailand	2001
KY586366_Ser1_Thailand_BangkokSeq_46_Thailand	2001
KY586367_Ser1_Thailand_BangkokSeq_47_Thailand	1995
KY586368_Ser1_Thailand_BangkokSeq_48_Thailand	1995
KY586369_Ser1_Thailand_BangkokSeq_49_Thailand	1995
KY586310_Ser1_Thailand_BangkokSeq_5_Thailand	2001
KY586370_Ser1_Thailand_BangkokSeq_50_Thailand	1998
KY586371_Ser1_Thailand_BangkokSeq_51_Thailand	2000
KY586372_Ser1_Thailand_BangkokSeq_52_Thailand	2000
KY586374_Ser1_Thailand_BangkokSeq_53_Thailand	2001
KY586375_Ser1_Thailand_BangkokSeq_54_Thailand	2001
KY586376_Ser1_Thailand_BangkokSeq_55_Thailand	1998
KY586377_Ser1_Thailand_BangkokSeq_56_Thailand	1998
KY586378_Ser1_Thailand_BangkokSeq_57_Thailand	2000
KY586379_Ser1_Thailand_BangkokSeq_58_Thailand	1998
KY586381_Ser1_Thailand_BangkokSeq_59_Thailand	1995
KY586311_Ser1_Thailand_BangkokSeq_6_Thailand	2006
KY586382_Ser1_Thailand_BangkokSeq_60_Thailand	1995
KY586383_Ser1_Thailand_BangkokSeq_61_Thailand	2006
KY586384_Ser1_Thailand_BangkokSeq_62_Thailand	2006
KY586385_Ser1_Thailand_BangkokSeq_63_Thailand	2006
KY586386_Ser1_Thailand_BangkokSeq_64_Thailand	2006
KY586387_Ser1_Thailand_BangkokSeq_65_Thailand	2006
