KU296394.1	2015-03-06
KU296393.1	2015-03-12
KU296392.1	2015-04-18
KU296391.1	2015-02-11
KU296390.1	2015-03-16
KU296389.1	2015-03-08
KU296388.1	2015-02-12
KU296387.1	2015-01-12
KU296386.1	2015-01-14
KU296385.1	2015-06-03
KU296384.1	2015-01-10
KU296383.1	2015-02-21
KU296382.1	2015-01-20
KU296381.1	2015-01-09
KU296380.1	2015-01-07
KU296379.1	2014-12-23
KU296378.1	2015-01-11
KU296377.1	2015-01-22
KU296376.1	2015-01-06
KU296375.1	2015-01-26
KU296374.1	2015-03-09
KU296373.1	2014-12-31
KU296372.1	2015-01-22
KU296371.1	2015-07-13
KU296370.1	2015-07-10
KU296369.1	2015-02-23
KU296367.1	2015-01-08
KU296366.1	2015-02-23
KU296365.1	2015-01-14
KU296364.1	2015-01-08
KU296363.1	2015-02-25
KU296362.1	2015-02-26
KU296361.1	2015-01-08
KU296360.1	2015-02-27
KU296359.1	2015-01-11
KU296358.1	2015-01-11
KU296357.1	2015-07-08
KU296356.1	2015-01-06
KU296355.1	2015-02-25
KU296354.1	2015-01-20
KU296353.1	2015-06-14
KU296352.1	2015-02-24
KU296351.1	2015-03-01
KU296350.1	2015-01-13
KU296349.1	2015-03-03
KU296348.1	2015-07-08
KU296347.1	2015-02-24
KU296346.1	2015-03-01
KU296345.1	2015-04-27
KU296344.1	2015-01-15
KU296343.1	2015-01-04
KU296342.1	2015-07-06
KU296341.1	2015-01-21
KU296340.1	2015-06-16
KU296339.1	2014-12-28
KU296338.1	2015-02-20
KU296337.1	2015-06-04
KU296336.1	2015-02-25
KU296335.1	2014-12-28
KU296334.1	2015-01-05
KU296333.1	2015-01-19
KU296332.1	2014-12-28
KU296331.1	2015-01-16
KU296330.1	2015-02-25
KU296329.1	2015-01-08
KU296328.1	2015-01-09
KU296327.1	2015-06-09
KU296326.1	2015-06-10
KU296325.1	2015-06-29
KU296324.1	2015-01-30
KU296323.1	2015-01-05
KU296322.1	2015-06-02
KU296321.1	2015-07-18
KU296320.1	2014-12-21
KU296319.1	2015-07-16
KU296318.1	2015-04-29
KU296317.1	2015-01-26
KU296316.1	2015-01-10
KU296315.1	2015-01-10
KU296314.1	2015-02-08
KU296313.1	2015-08-01
KU296312.1	2015-01-07
KU296311.1	2015-03-02
KU296310.1	2015-02-22
KU296309.1	2015-01-08
KU296308.1	2015-04-13
KU296307.1	2015-03-20
KU296306.1	2015-07-05
KU296305.1	2015-02-28
KU296304.1	2015-01-31
KU296303.1	2015-01-10
KU296302.1	2015-02-14
KU296301.1	2015-01-17
KU296300.1	2015-03-10
KU296299.1	2015-03-02
KU296298.1	2015-04-19
KU296297.1	2015-02-21
KU296296.1	2015-01-09
KU296295.1	2015-02-11
KU296294.1	2015-01-29
KU296293.1	2015-01-01
MK007344.1	2018-08-16
MK007343.1	2018-08-15
MK007342.1	2018-08-15
MK007341.1	2018-08-14
MK007340.1	2018-08-14
MK007339.1	2018-08-14
MK007338.1	2018-08-14
MK007337.1	2018-08-14
MK007336.1	2018-08-13
MK007335.1	2018-08-13
MK007334.1	2018-08-13
MK007333.1	2018-08-12
MK007332.1	2018-08-12
MK007331.1	2018-08-12
MK007330.1	2018-07-28
MK007329.1	2018-07-27
MH898466.1	2018-05-11
MH733491.1	2018-06-06
MH733490.1	2018-05-28
MH733489.1	2018-05-22
MH733488.1	2018-05-21
MH733487.1	2018-05-19
MH733486.1	2018-05-20
MH733485.1	2018-05-19
MH733484.1	2018-05-19
MH733483.1	2018-05-18
MH733482.1	2018-05-17
MH733481.1	2018-05-17
MH733480.1	2018-05-15
MH733479.1	2018-05-15
MH733478.1	2018-05-11
MH733477.1	2018-05-10
KY786027.1	2001
KY786026.1	2001
KY786025.1	2001
KY786024.1	2001
KY786023.1	2001
KY786022.1	2001
KY786021.1	2001
KY786020.1	2001
KY786019.1	2001
KY786018.1	2001
KY786017.1	2001
KY786016.1	2001
KY786015.1	2001
KY786014.1	2001
KY786013.1	2001
KY786012.1	2001
KY786011.1	2001
KY786010.1	2001
KY786009.1	2001
KY786008.1	2001
KY786007.1	2001
KY786006.1	2001
KY786005.1	2001
KY786004.1	2001
KY786003.1	2001
KY786002.1	2001
KY786001.1	2001
KY786000.1	2001
KY785999.1	2001
KY785998.1	2001
KY785997.1	2001
KY785996.1	2001
KY785995.1	2001
KY785994.1	2001
KY785993.1	2001
KY785992.1	2001
KY785991.1	2001
KY785990.1	2001
KY785989.1	2001
KY785988.1	2001
KY785987.1	2001
KY785986.1	2001
KY785985.1	2001
KY785984.1	2001
KY785983.1	2001
KY785982.1	2001
KY785981.1	2001
KY785980.1	2001
KY785979.1	2001
KY785978.1	2001
KY785977.1	2001
KY785976.1	2001
KY785975.1	2001
KY785974.1	2001
KY785973.1	2001
KY785972.1	2001
KY785971.1	2001
KY785970.1	2001
KY785969.1	2001
KY785968.1	2001
KY785967.1	2001
KY785966.1	2001
KY785965.1	2001
KY785964.1	2001
KY785963.1	2001
KY785962.1	2001
KY785961.1	2001
KY785960.1	2001
KY785959.1	2001
KY785958.1	2001
KY785957.1	2001
KY785956.1	2001
KY785955.1	2001
KY785954.1	2001
KY785953.1	2001
KY785952.1	2001
KY785951.1	2001
KY785950.1	2001
KY785949.1	2001
KY785948.1	2001
KY785947.1	2001
KY785946.1	2001
KY785945.1	2001
KY785944.1	2001
KY785943.1	2001
KY785942.1	2001
KY785941.1	2001
KY785940.1	2001
KY785939.1	2001
KY785938.1	2001
KY785937.1	2001
KY785936.1	2001
MH470382.1	2015-03-17
MH470381.1	2015-07-17
MH470380.1	2015-07-16
MH470379.1	2015-06-20
MH470378.1	2015-06-20
MH470377.1	2015-06-21
MH470376.1	2015-06-21
MH470375.1	2015-06-22
MH470374.1	2015-07-01
MH470373.1	2015-07-01
KT589390.1	2014-09-17
KT589389.1	2014-09-07
MF599522.1	2015-03-30
MF599521.1	2015-03-24
MF599520.1	2015-03-24
MF599519.1	2015-03-21
MF599518.1	2015-05-26
MF599517.1	2015-05-30
MF599516.1	2015-05-26
MF599515.1	2015-05-22
MF599514.1	2015-05-20
MF599513.1	2015-03-16
MF599512.1	2015-03-16
MF599511.1	2015-04-21
MF599510.1	2015-04-21
MF599509.1	2015-04-11
MF599508.1	2015-04-06
MF599507.1	2015-03-25
MF599506.1	2015-03-17
MF599505.1	2015-05-02
MF599504.1	2015-05-04
KY426712.1	2015
KU156715.1	2014-06-18
KU156714.1	2014-06-18
KY007525.1	2016-04-07
KY007524.1	2016-04-05
KY007523.1	2016-04-01
KY007522.1	2016-04-01
MF102255.1	2015-04
KY426733.1	2015
KY426732.1	2015
KY426731.1	2015
KY426730.1	2015
KY426729.1	2015
KY426728.1	2015
KY426727.1	2015
KY426726.1	2015
KY426725.1	2015
KY426724.1	2015
KY426723.1	2015
KY426722.1	2015
KY426721.1	2015
KY426720.1	2015
KY426719.1	2015
KY426718.1	2015
KY426717.1	2015
KY426716.1	2015
KY426715.1	2015
KY426714.1	2015
KY426713.1	2015
KY426711.1	2015
KY426710.1	2015
KY426709.1	2015
KY426708.1	2015
KY426707.1	2015
KY426706.1	2015
KY426705.1	2015
KY426704.1	2015
KY426703.1	2015
KY426702.1	2015
KY426701.1	2015
KY426700.1	2015
KY426699.1	2015
KY426698.1	2015
KY426697.1	2015
KY426696.1	2015
KY426695.1	2015
KY426694.1	2015
KY426693.1	2015
KY426692.1	2015
KY426691.1	2015
KY426690.1	2015
KY426689.1	2015
KY426688.1	2015
KY426687.1	2015
KY426686.1	2015
KY426685.1	2015
KY426684.1	2015
KY744597.1	2015-11-20
KY744596.1	2015-11-22
LC152433.1	2015-02
KU978803.1	1995-04-01
KU978802.1	1976-10-01
KU978801.1	2014-03-26
KT725393.1	2014-11-13
KT725392.1	2014-08-19
KT725391.1	2014-10-11
KT725390.1	2014-08-19
KT725389.1	2014-09-29
KT725388.1	2014-07-04
KT725387.1	2014-08-20
KT725386.1	2014-08-15
KT725385.1	2014-09-09
KT725384.1	2015-02-04
KT725383.1	2014-08-17
KT725382.1	2014-08-24
KT725381.1	2014-08-26
KT725380.1	2014-08-17
KT725379.1	2014-09-20
KT725378.1	2014-08-16
KT725377.1	2014-08-17
KT725376.1	2014-09-23
KT725375.1	2014-10-11
KT725374.1	2014-10-05
KT725373.1	2014-09-19
KT725372.1	2014-10-02
KT725371.1	2014-09-19
KT725370.1	2014-11-13
KT725369.1	2014-08-26
KT725368.1	2014-10-01
KT725367.1	2014-08-20
KT725366.1	2014-12-29
KT725365.1	2014-08-20
KT725364.1	2014-08-24
KT725363.1	2014-08-17
KT725362.1	2014-09-20
KT725361.1	2014-10-01
KT725360.1	2014-06-23
KT725359.1	2014-09-23
KT725358.1	2014-10-05
KT725357.1	2014-09-23
KT725356.1	2014-08-27
KT725355.1	2014-08-30
KT725354.1	2014-09-26
KT725353.1	2014-09-20
KT725352.1	2014-09-13
KT725351.1	2014-09-19
KT725350.1	2014-08-17
KT725349.1	2014-08-26
KT725348.1	2014-08-16
KT725347.1	2014-08-26
KT725346.1	2014-08-26
KT725345.1	2014-10-01
KT725344.1	2014-08-16
KT725343.1	2014-09-01
KT725342.1	2014-11-26
KT725341.1	2014-08-26
KT725340.1	2014-09-23
KT725339.1	2014-08-26
KT725338.1	2014-08-20
KT725337.1	2014-08-20
KT725336.1	2014-06-25
KT725335.1	2014-08-18
KT725334.1	2014-09-20
KT725333.1	2014-11-17
KT725332.1	2014-07-01
KT725331.1	2014-08-22
KT725330.1	2014-11-10
KT725329.1	2014-09-19
KT725328.1	2014-11-22
KT725327.1	2014-11-13
KT725326.1	2014-08-26
KT725325.1	2014-09-20
KT725324.1	2014-07-19
KT725323.1	2014-09-29
KT725322.1	2014-07-18
KT725321.1	2014-09-19
KT725320.1	2014-06-24
KT725319.1	2014-09-15
KT725318.1	2014-09-13
KT725317.1	2014-09-09
KT725316.1	2014-08-21
KT725315.1	2014-08-16
KT725314.1	2014-08-04
KT725313.1	2014-10-31
KT725312.1	2014-10-18
KT725311.1	2014-08-10
KT725310.1	2014-10-02
KT725309.1	2014-08-26
KT725308.1	2014-09-20
KT725307.1	2014-09-20
KT725306.1	2014-08-27
KT725305.1	2014-09-26
KT725304.1	2014-09-26
KT725303.1	2014-11-06
KT725302.1	2014-09-26
KT725301.1	2014-09-26
KT725300.1	2014-08-26
KT725299.1	2014-08-10
KT725298.1	2014-09-21
KT725297.1	2014-08-26
KT725296.1	2014-09-13
KT725295.1	2014-09-20
KT725294.1	2014-08-16
KT725293.1	2014-08-19
KT725292.1	2014-08-18
KT725291.1	2014-11-10
KT725290.1	2014-11-28
KT725289.1	2014-09-01
KT725288.1	2014-12-22
KT725287.1	2014-10-14
KT725286.1	2014-08-22
KT725285.1	2014-10-16
KT725284.1	2014-09-29
KT725283.1	2014-08-26
KT725282.1	2014-09-16
KT725281.1	2014-08-27
KT725280.1	2014-11-22
KT725279.1	2014-11-14
KT725278.1	2014-08-16
KT725277.1	2014-07-14
KT725276.1	2014-09-23
KT725275.1	2014-07-11
KT725274.1	2014-11-07
KT725273.1	2014-11-10
KT725272.1	2014-08-22
KT725271.1	2014-09-20
KT725270.1	2014-10-01
KT725269.1	2014-10-02
KT725268.1	2014-10-02
KT725267.1	2014-08-16
KT725266.1	2014-09-15
KT725265.1	2014-09-09
KT725264.1	2014-08-26
KT725263.1	2014-09-09
KT725262.1	2014-06-25
KT725261.1	2014-08-04
KT725260.1	2014-09-07
KT725259.1	2014-08-15
KT725258.1	2014-10-01
KT725257.1	2014-08-16
KT725256.1	2014-08-26
KT725255.1	2014-09-08
KT725254.1	2014-11-10
KY471125.1	2015
KY471124.1	2001
KY471123.1	2015
KY471122.1	2015
KY471121.1	2015
KY471120.1	2015
KY471119.1	2015
KY471118.1	2015
KY471117.1	2015
KY471116.1	2015
KY471115.1	2015
KY471114.1	2015
KY471113.1	2015
KY471112.1	2015
KY471111.1	2015
KY471110.1	2015
KY471109.1	2015
KY471108.1	2015
KY471107.1	2015
KY471106.1	2015
KY471105.1	2015
KY471104.1	2015
KY471103.1	2015
KY471102.1	2015
KY471101.1	2015
KY471100.1	2015
KY471099.1	2015
KY471098.1	2015
KY471097.1	2015
KY471096.1	2015
KY471095.1	2015
KY471094.1	2015
KY471093.1	2015
KY471092.1	2015
KY471091.1	2015
KY471090.1	2015
KY558988.1	2014-08-01
KY558987.1	2014-09-01
KY558986.1	2014-11-01
KY558985.1	2014-09-01
KY558984.1	2014-12-01
KU220282.1	2014-08-25
KU220281.1	2014-08-25
KU220280.1	2014-08-24
KU220279.1	2014-08-24
KU220278.1	2014-08-24
KU220277.1	2014-08-10
KU220276.1	2015-07-12
KU220275.1	2015-07-08
KU220274.1	2015-07-07
KU220273.1	2015-07-07
KU220272.1	2015-07-02
KU220271.1	2015-07-01
KU220270.1	2015-06-30
KU220269.1	2015-06-29
KY366421.1	2015-05
KY366420.1	2015-03
KY366419.1	2015-03
KY366418.1	2015-03
KY366417.1	2015-03
KY366416.1	2015-04
KY366415.1	2015-03
KY366414.1	2015-03
KY366413.1	2015-03
KY366412.1	2015-03
KU143834.1	2014
KU143833.1	2014
KU143832.1	2014
KU143831.1	2014
KU143830.1	2014
KU143829.1	2014
KU143828.1	2014
KU143827.1	2014
KU143826.1	2014
KU143825.1	2014
KU143824.1	2014
KU143823.1	2014
KU143822.1	2014
KU143821.1	2014
KU143820.1	2014
KU143819.1	2014
KU143818.1	2014
KU143817.1	2014
KU143816.1	2014
KU143815.1	2014
KU143814.1	2014
